pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,habitable
10.121727,54.98459,0.05367,0.559,209.7699,5495.0,0.853,0.917,0
12.520453,117.27927,0.04269,0.088,87.73,4512.0,0.6564,0.674,0
8.9672,77.23269,0.03769,0.162,137.6,4546.0,0.7152,0.7279,0
8.574885,112.19399,0.04515,0.071,80.45,4405.0,0.6977,0.7133,0
10.223,75.323,0.0542,0.019,183.2395,5304.0,0.871,0.936,0
15.80469,244.09344,0.04639,0.33,740.2246,5758.0,1.44,1.187,0
15.490838,711.9392,0.02498,0.246,1310.22,6010.0,1.046,1.111,0
15.02006,189.10885,0.04753,0.33,471.61,5644.0,1.101,0.964,0
11.37711541,239.32479047,0.037,0.0,476.965,5621.0,1.23,1.05,0
14.022459,292.72143,0.05412,0.092,355.909,6214.0,1.126,1.1955,0
18.920792,191.33366,0.06043,0.019,1080.87,6536.0,2.201,1.573,0
12.767051,1000.21101,0.03493,0.028,570.233,5587.0,0.96,1.026,0
12.273855,327.3649,0.05798,0.168,382.7112,7175.0,1.433,1.461,0
12.621334,256.17098,0.06112,0.129,269.0,5670.0,1.036,1.038,0
12.3,4036.441,2.504,0.083,0.159,5670.0,1.036,1.038,0
11.186582,101.38777,0.03623,0.0,47.3315,3724.0,0.57,0.574,0
12.923977,210.40346,0.04708,0.191,903.9,5688.0,1.46,1.097,0
13.394755,1080.622,0.07908,0.092,374.2,5542.0,1.664,1.076,0
11.825495,56.89157,0.04163,0.298,387.4,5416.0,0.933,0.896,0
13.529263,305.1168,0.04026,0.136,634.1,5627.0,1.07,0.931,0
18.819911,305.1168,0.06562,0.151,1711.0,6554.0,2.113,1.564,0
16.824709,260.93843,0.04497,0.062,1178.0,6277.0,1.31,1.257,0
15.815899,1694.0339,0.04714,0.064,2637.0,6626.0,1.841,1.411,0
18.887165,460.8535,0.03032,0.057,3821.0,6594.0,1.441,1.435,0
13.809488,410.0007,0.05071,0.036,1521.0,6147.0,1.748,1.351,0
10.592505,183.38791,0.03211,0.519,466.6,5137.0,0.8785,0.892,0
6.310667,38.1396,0.04012,0.17,211.6178,4985.0,0.815,0.849,0
15.513256,4100.007,0.03632,0.18,9110.0,7930.0,1.881,1.78,0
11.478016,117.5971,0.03745,0.0,18.0832,3405.0,0.4783,0.4861,0
8.0973816,39.855882,0.066517,0.013,49.58,4656.1,0.7214,0.7311,0
11.56766808,464.02947422,0.02384,0.044,106.9,3776.9,0.5758,0.601,0
9.90873894,156.05374784,0.032742,0.064,59.26,3790.4,0.5848,0.6017,0
12.09449018,835.570882,0.02658,0.062,129.8,4016.0,0.6259,0.662,0
13.05846252,436.69623122,0.03607,0.045,78.37,4071.0,0.6428,0.655,0
2.44,12.6,0.0907,0.093,240.0,6327.0,1.296,1.091,0
4.35,15.2,0.1536,0.22,83.0,6327.0,1.296,1.091,0
1.615,3.24,0.04527,0.045,312.1807,5660.0,0.877,0.869,0
